title,Price,Mileage(miles),Registration_Year,Previous Owners,Fuel type,Body type,Engine,Gearbox
Volkswagen Passat,3990,95810,2011,3.0,Diesel,Saloon,1.6L,Manual
Hyundai i30,1750,130000,2010,4.0,Petrol,Hatchback,1.4L,Manual
BMW 3 Series,19800,69690,2019,1.0,Petrol Plug-in Hybrid,Saloon,2.0L,Automatic
Mercedes-Benz A Class,15900,62402,2019,1.0,Petrol,Hatchback,1.3L,Automatic
Vauxhall Astra,5000,60000,2015,1.0,Petrol,Hatchback,1.4L,Manual
Renault Grand Scenic,2495,87000,2009,2.0,Petrol,MPV,1.6L,Manual
Mazda Mazda3,4495,100000,2013,2.0,Petrol,Hatchback,1.6L,Automatic
Toyota Yaris,1450,95232,2003,2.0,Petrol,Hatchback,1.0L,Manual
Mercedes-Benz E Class,4450,89600,2011,2.0,Diesel,Saloon,2.1L,Automatic
BMW 1 Series,1800,145000,2004,5.0,Diesel,Hatchback,2.0L,Manual
Nissan Micra,2000,85000,2007,6.0,Petrol,Hatchback,1.4L,Automatic
Saab 9-3,2950,87424,2008,3.0,Petrol,Saloon,1.8L,Automatic
Mercedes-Benz CLS,3995,84000,2005,4.0,Petrol,Saloon,5.0L,Automatic
Volkswagen Polo,2495,149000,2010,1.0,Diesel,Hatchback,1.2L,Manual
SKODA Fabia,6900,70189,2016,3.0,Diesel,Hatchback,1.4L,Manual
Peugeot 308 SW,9600,56984,2016,4.0,Diesel,Estate,1.6L,Manual
BMW 3 Series,5495,88291,2008,3.0,Petrol,Coupe,2.0L,Automatic
Nissan X-trail,2500,138000,2009,3.0,Diesel,SUV,2.0L,Manual
Toyota Aygo,3250,110658,2010,5.0,Petrol,Hatchback,1.0L,Automatic
Vauxhall Insignia,4495,61000,2014,5.0,Petrol,Hatchback,1.8L,Manual
Toyota Avensis,1599,115000,2004,5.0,Petrol,Hatchback,1.8L,Manual
Peugeot 308 SW,9600,56984,2016,4.0,Diesel,Estate,1.6L,Manual
Vauxhall Corsa,1795,96466,2007,8.0,Petrol,Hatchback,1.2L,Manual
Renault Clio,1599,77182,2010,3.0,Petrol,Hatchback,1.2L,Manual
Citroen DS3,3450,71977,2012,2.0,Petrol,Hatchback,1.6L,Manual
Hyundai I20,6400,64000,2013,3.0,Petrol,Hatchback,1.4L,Automatic
Toyota Yaris,1150,98900,2002,3.0,Petrol,Hatchback,1.3L,Manual
Vauxhall Zafira,2250,97000,2008,4.0,Petrol,MPV,1.8L,Manual
Honda Jazz,2450,42500,2006,2.0,Petrol,Hatchback,1.4L,Manual
Peugeot 5008,2999,109000,2010,4.0,Petrol,MPV,1.6L,Manual
Vauxhall Astra,3950,56800,2015,4.0,Diesel,Hatchback,1.7L,Manual
Hyundai i30,1750,130000,2010,4.0,Petrol,Hatchback,1.4L,Manual
Peugeot 308 SW,9600,56984,2016,4.0,Diesel,Estate,1.6L,Manual
Mercedes-Benz A Class,15900,62402,2019,1.0,Petrol,Hatchback,1.3L,Automatic
Hyundai i30,3990,115600,2013,3.0,Petrol,Hatchback,1.4L,Manual
Renault Laguna,1500,109000,2005,2.0,Petrol,Estate,2.0L,Automatic
SEAT Ibiza,2620,78497,2010,4.0,Petrol,Hatchback,1.2L,Manual
Volkswagen Golf,2495,147000,2011,4.0,Petrol,Hatchback,1.2L,Manual
BMW 3 Series,3500,42460,2007,2.0,Diesel,Coupe,2.0L,Automatic
Nissan Qashqai,3895,67000,2010,2.0,Petrol,SUV,2.0L,Automatic
Honda Civic,2490,80000,2002,2.0,Petrol,Hatchback,1.6L,Automatic
Mazda Mazda2,2094,83000,2008,3.0,Petrol,Hatchback,1.3L,Manual
Nissan Qashqai+2,5940,85000,2010,2.0,Petrol,SUV,1.6L,Manual
Vauxhall Corsa,4999,65153,2014,4.0,Petrol,Hatchback,1.2L,Manual
Ford Focus,3000,110000,2013,1.0,Diesel,Estate,1.6L,Manual
Fiat 500,4299,60000,2012,2.0,Petrol,Hatchback,1.2L,Manual
SKODA Fabia,6900,70189,2016,3.0,Diesel,Hatchback,1.4L,Manual
Audi A5,8050,97850,2011,5.0,Petrol,Coupe,2.0L,Automatic
Alfa Romeo GT,2495,90000,2007,3.0,Petrol,Coupe,2.0L,Manual
Volkswagen Golf,2259,149490,2009,2.0,Diesel,Hatchback,2.0L,Manual
Toyota Corolla Verso,1895,129644,2008,3.0,Petrol,MPV,1.8L,Manual
Volkswagen Passat,5990,124700,2015,2.0,Diesel,Saloon,1.6L,Manual
Volkswagen Polo,3295,97000,2010,4.0,Petrol,Hatchback,1.2L,Manual
Peugeot 308 SW,9600,56984,2016,4.0,Diesel,Estate,1.6L,Manual
Ford Focus,3895,89000,2010,3.0,Petrol,Hatchback,2.0L,Automatic
Nissan Qashqai+2,4495,114000,2011,3.0,Petrol,SUV,1.6L,Manual
Renault Clio,5990,40000,2012,2.0,Petrol,Hatchback,1.6L,Automatic
Rover Mini,1650,49309,1990,4.0,Petrol,Saloon,1.0L,Automatic
Vauxhall Mokka,6699,55000,2014,2.0,Petrol,SUV,1.6L,Manual
Peugeot 308 SW,9600,56984,2016,4.0,Diesel,Estate,1.6L,Manual
Mazda Mazda3,2200,93505,2006,3.0,Petrol,Hatchback,1.6L,Automatic
Rover 75,1495,84349,2003,5.0,Petrol,Saloon,2.0L,Automatic
Citroen DS4,4594,91652,2012,4.0,Petrol,Hatchback,1.6L,Manual
Citroen C3,3295,69991,2012,2.0,Petrol,Hatchback,1.4L,Manual
Nissan Qashqai,4000,111000,2010,4.0,Petrol,SUV,2.0L,Automatic
Peugeot 308 SW,9600,56984,2016,4.0,Diesel,Estate,1.6L,Manual
Vauxhall Astra GTC,2495,153000,2011,4.0,Petrol,Coupe,1.6L,Manual
Fiat Punto,2495,83000,2013,2.0,Petrol,Hatchback,1.2L,Manual
Ford Grand C-max,2700,117000,2012,2.0,Diesel,MPV,1.6L,Manual
Vauxhall Astra,3400,68100,2011,3.0,Petrol,Hatchback,1.6L,Manual
Peugeot 207,2490,38000,2009,2.0,Petrol,Hatchback,1.4L,Manual
SKODA Fabia,6900,70189,2016,3.0,Diesel,Hatchback,1.4L,Manual
SKODA Fabia,6900,70189,2016,3.0,Diesel,Hatchback,1.4L,Manual
Ford Fiesta,1495,61000,2002,1.0,Petrol,Hatchback,1.3L,Manual
Peugeot 307,2250,63000,2002,4.0,Petrol,Hatchback,1.6L,Automatic
Mitsubishi Colt,3750,49000,2011,3.0,Petrol,Hatchback,1.3L,Automatic
Toyota Prius,1889,152000,2003,7.0,Petrol Hybrid,Saloon,1.5L,Automatic
Audi A6 Saloon,2499,110000,2008,2.0,Diesel,Saloon,2.0L,Manual
Vauxhall Astra GTC,4950,51600,2013,3.0,Diesel,Coupe,2.0L,Manual
Peugeot 207,999,111400,2007,2.0,Diesel,Hatchback,1.6L,Manual
SKODA Fabia,6900,70189,2016,3.0,Diesel,Hatchback,1.4L,Manual
SKODA Fabia,6900,70189,2016,3.0,Diesel,Hatchback,1.4L,Manual
Volkswagen Tiguan,5899,100000,2012,2.0,Diesel,SUV,2.0L,Manual
Vauxhall Insignia,1995,94000,2009,4.0,Petrol,Hatchback,1.8L,Manual
Mazda Mazda3,1795,99000,2008,2.0,Petrol,Hatchback,1.6L,Manual
Vauxhall Astra,2490,86000,2007,5.0,Petrol,Hatchback,1.6L,Automatic
Toyota Auris,3349,96100,2010,5.0,Petrol,Hatchback,1.3L,Manual
Vauxhall Corsa,3450,99818,2016,1.0,Petrol,Hatchback,1.2L,Manual
Vauxhall Astra,3199,87000,2012,3.0,Petrol,Hatchback,1.4L,Manual
Volkswagen Polo,2495,149000,2010,1.0,Diesel,Hatchback,1.2L,Manual
SKODA Fabia,6900,70189,2016,3.0,Diesel,Hatchback,1.4L,Manual
BMW 3 Series,3030,138000,2009,3.0,Petrol,Saloon,2.0L,Manual
Vauxhall Astra,1490,87500,2007,4.0,Petrol,Hatchback,1.6L,Manual
Audi A3,7500,100400,2013,3.0,Petrol,Hatchback,1.8L,Automatic
Vauxhall Corsa,4480,65000,2014,3.0,Petrol,Hatchback,1.2L,Manual
Vauxhall Insignia,2950,79000,2011,4.0,Petrol,Hatchback,1.8L,Manual
SKODA Fabia,6900,70189,2016,3.0,Diesel,Hatchback,1.4L,Manual
Toyota RAV4,3995,134800,2010,1.0,Diesel,SUV,2.2L,Manual
Nissan Qashqai+2,5490,102000,2013,3.0,Petrol,SUV,1.6L,Manual
Audi A4,2295,121000,2004,8.0,Petrol,Saloon,1.8L,Automatic
Hyundai i20,2950,66300,2010,3.0,Petrol,Hatchback,1.4L,Manual
Renault Megane,3750,92000,2012,1.0,Petrol,Hatchback,2.0L,Manual
Suzuki Grand Vitara,5000,64000,2010,4.0,Petrol,SUV,2.4L,Manual
Vauxhall Corsa,1950,93000,2012,4.0,Petrol,Hatchback,1.2L,Manual
SKODA Fabia,6900,70189,2016,3.0,Diesel,Hatchback,1.4L,Manual
Peugeot 308 SW,9600,56984,2016,4.0,Diesel,Estate,1.6L,Manual
Ford S-max,4495,97155,2012,1.0,Diesel,MPV,2.0L,Automatic
SEAT Ibiza,4399,91804,2015,2.0,Petrol,Estate,1.2L,Manual
Suzuki Swift,3940,75000,2014,1.0,Petrol,Hatchback,1.2L,Manual
MINI Hatch,3949,87000,2010,3.0,Petrol,Hatchback,1.6L,Manual
Lexus LS 430,3950,153000,2005,3.0,Petrol,Saloon,4.3L,Automatic
BMW 3 Series,2500,113000,2007,5.0,Petrol,Coupe,2.5L,Automatic
Ford Focus,3940,77241,2011,3.0,Petrol,Hatchback,1.6L,Manual
Peugeot 308,1800,52000,2009,4.0,Petrol,Hatchback,1.6L,Manual
Volkswagen Polo,2495,149000,2010,1.0,Diesel,Hatchback,1.2L,Manual
Peugeot 308 SW,9600,56984,2016,4.0,Diesel,Estate,1.6L,Manual
Nissan Note,4595,82364,2014,2.0,Petrol,Hatchback,1.2L,Manual
Ford Focus,1575,127000,2007,3.0,Diesel,Hatchback,2.0L,Manual
Honda Civic,2490,101200,2008,2.0,Petrol,Hatchback,1.8L,Manual
Vauxhall Corsa,1950,93000,2012,4.0,Petrol,Hatchback,1.2L,Manual
BMW 3 Series,19800,69690,2019,1.0,Petrol Plug-in Hybrid,Saloon,2.0L,Automatic
BMW X3,4995,80750,2010,7.0,Diesel,SUV,2.0L,Automatic
SEAT Ibiza,2800,77000,2011,3.0,Petrol,Hatchback,1.4L,Manual
Mercedes-Benz A Class,2199,69200,2012,5.0,Petrol,Hatchback,1.5L,Manual
Mercedes-Benz C Class,1995,89400,2006,2.0,Diesel,Saloon,2.1L,Automatic
Toyota Corolla Verso,1949,105000,2002,2.0,Petrol,MPV,1.8L,Manual
Honda Accord,3495,103000,2008,2.0,Petrol,Saloon,2.4L,Automatic
Volkswagen Passat,2500,134503,2010,2.0,Diesel,Saloon,2.0L,Manual
Renault Clio,2395,66200,2011,4.0,Petrol,Hatchback,1.2L,Manual
Mercedes-Benz A Class,15900,62402,2019,1.0,Petrol,Hatchback,1.3L,Automatic
Mercedes-Benz E Class,6580,110000,2014,5.0,Diesel,Convertible,2.1L,Automatic
Volkswagen Polo,2000,112638,2008,2.0,Petrol,Hatchback,1.2L,Manual
Vauxhall Astra,2990,49000,2011,2.0,Petrol,Hatchback,1.6L,Manual
Nissan Qashqai+2,3950,118000,2010,3.0,Petrol,SUV,2.0L,Manual
Peugeot 207,999,111400,2007,2.0,Diesel,Hatchback,1.6L,Manual
Ford Fiesta,3250,80653,2009,3.0,Petrol,Hatchback,1.6L,Manual
KIA Picanto,3990,26500,2009,3.0,Petrol,Hatchback,1.1L,Automatic
BMW 3 Series,9599,89890,2013,5.0,Petrol,Saloon,2.0L,Manual
MINI Hatch,2700,96166,2007,5.0,Petrol,Hatchback,1.6L,Manual
Volvo S80,4495,72000,2006,3.0,Petrol,Saloon,2.5L,Automatic
BMW 5 Series,2000,125000,2006,5.0,Petrol,Saloon,2.5L,Manual
Mitsubishi Colt,1495,115000,2007,4.0,Petrol,Hatchback,1.5L,Manual
Volkswagen Polo,2495,149000,2010,1.0,Diesel,Hatchback,1.2L,Manual
SKODA Fabia,6900,70189,2016,3.0,Diesel,Hatchback,1.4L,Manual
Fiat Punto,1490,32000,2004,3.0,Petrol,Hatchback,1.2L,Manual
MINI Hatch,5000,59000,2012,2.0,Petrol,Hatchback,1.6L,Manual
Mercedes-Benz E Class,6300,139000,2009,4.0,Petrol,Coupe,3.5L,Automatic
Ford Focus,12599,29000,2018,2.0,Petrol,Hatchback,1.0L,Manual
Volkswagen Golf,2900,36000,2006,3.0,Petrol,Hatchback,1.6L,Manual
Hyundai i30,1750,130000,2010,4.0,Petrol,Hatchback,1.4L,Manual
MINI Hatch,10000,46923,2017,3.0,Petrol,Hatchback,1.5L,Manual
Peugeot 308 SW,9600,56984,2016,4.0,Diesel,Estate,1.6L,Manual
Daewoo Kalos,995,62807,2003,2.0,Petrol,Hatchback,1.2L,Manual
Ford Fiesta,4480,34000,2010,2.0,Diesel,Hatchback,1.6L,Manual
Peugeot 107,3295,77106,2013,1.0,Petrol,Hatchback,1.0L,Manual
Honda Jazz,2450,93000,2010,4.0,Petrol,Hatchback,1.4L,Manual
Volkswagen EOS,4390,102000,2011,1.0,Petrol,Convertible,1.4L,Manual
Mercedes-Benz B Class,6499,83000,2013,3.0,Diesel,MPV,1.5L,Manual
Mercedes-Benz A Class,15900,62402,2019,1.0,Petrol,Hatchback,1.3L,Automatic
Suzuki Alto,2000,76833,2011,3.0,Petrol,Hatchback,1.0L,Manual
KIA RIO,3800,92000,2013,3.0,Petrol,Hatchback,1.3L,Manual
Fiat Grande Punto,1499,49970,2009,2.0,Diesel,Hatchback,1.3L,Manual
Mercedes-Benz C Class,5999,79700,2012,3.0,Diesel,Saloon,2.1L,Manual
Vauxhall Astra,6495,63495,2016,4.0,Petrol,Hatchback,1.0L,Manual
BMW 3 Series,1999,138000,2003,6.0,Petrol,Estate,2.2L,Automatic
MINI Hatch,2995,74700,2003,4.0,Petrol,Hatchback,1.6L,Automatic
Chevrolet Captiva,4500,97153,2013,4.0,Diesel,SUV,2.2L,Automatic
Vauxhall Corsa,3499,56285,2015,1.0,Petrol,Hatchback,1.4L,Manual
BMW X5,4800,84500,2006,3.0,Diesel,SUV,3.0L,Automatic
Nissan Juke,3699,120300,2014,3.0,Diesel,SUV,1.5L,Manual
Mazda Mazda6,2500,153000,2006,3.0,Petrol,Hatchback,2.0L,Automatic
Volkswagen Polo,2495,149000,2010,1.0,Diesel,Hatchback,1.2L,Manual
Peugeot 308 SW,9600,56984,2016,4.0,Diesel,Estate,1.6L,Manual
Volkswagen Scirocco,5950,87000,2008,1.0,Petrol,Hatchback,2.0L,Automatic
SEAT Ibiza,3295,84131,2012,4.0,Petrol,Hatchback,1.4L,Manual
Vauxhall Mokka,5950,56250,2016,1.0,Diesel,SUV,1.6L,Manual
Volkswagen Polo,5500,71000,2010,5.0,Petrol,Hatchback,1.4L,Automatic
Peugeot 307,2490,38563,2007,2.0,Petrol,Hatchback,1.4L,Manual
BMW 3 Series,19800,69690,2019,1.0,Petrol Plug-in Hybrid,Saloon,2.0L,Automatic
BMW 1 Series,9200,48650,2015,4.0,Petrol,Hatchback,1.5L,Manual
KIA Picanto,4490,12500,2012,1.0,Petrol,Hatchback,1.0L,Manual
BMW 1 Series,2599,83800,2006,1.0,Petrol,Hatchback,1.6L,Manual
Ford Fiesta,1950,170000,2010,3.0,Diesel,Hatchback,1.6L,Manual
Toyota Corolla,1499,109000,2003,6.0,Petrol,Hatchback,1.4L,Manual
KIA Soul,2800,80000,2009,2.0,Petrol,SUV,1.6L,Manual
Ford Focus,3750,61000,2010,3.0,Diesel,Hatchback,2.0L,Automatic
Hyundai i30,1750,130000,2010,4.0,Petrol,Hatchback,1.4L,Manual
BMW 3 Series,19800,69690,2019,1.0,Petrol Plug-in Hybrid,Saloon,2.0L,Automatic
Vauxhall Corsa,4940,58998,2015,1.0,Petrol,Hatchback,1.4L,Manual
Ford Focus,7250,57000,2014,3.0,Petrol,Hatchback,1.6L,Automatic
BMW X1,3290,152000,2011,4.0,Diesel,SUV,2.0L,Automatic
Renault Clio,3275,55000,2013,4.0,Petrol,Hatchback,1.2L,Manual
MINI Hatch,2495,92200,2008,2.0,Petrol,Hatchback,1.6L,Manual
BMW 3 Series,4495,185000,2012,5.0,Diesel,Saloon,2.0L,Manual
Nissan Pathfinder,3000,135607,2006,5.0,Diesel,SUV,2.5L,Automatic
Nissan Note,5500,97000,2014,2.0,Petrol,Hatchback,1.2L,Automatic
Nissan Juke,4225,108600,2013,1.0,Petrol,SUV,1.6L,Manual
BMW 1 Series,6995,58264,2013,4.0,Petrol,Hatchback,1.6L,Manual
Vauxhall Insignia,2950,79000,2011,4.0,Petrol,Hatchback,1.8L,Manual
Mercedes-Benz A Class,15900,62402,2019,1.0,Petrol,Hatchback,1.3L,Automatic
Ford Fiesta,2999,95000,2010,4.0,Petrol,Hatchback,1.4L,Manual
Vauxhall Astra GTC,4250,77700,2014,4.0,Petrol,Coupe,1.4L,Manual
Vauxhall Corsa,1890,29809,2003,3.0,Petrol,Hatchback,1.2L,Manual
BMW 3 Series,3995,87000,2005,5.0,Petrol,Coupe,2.0L,Manual
BMW 1 Series,3900,105950,2012,2.0,Diesel,Hatchback,2.0L,Manual
Volkswagen Golf Plus,2490,90960,2008,4.0,Diesel,Hatchback,1.9L,Manual
Honda Civic,2250,107000,2006,6.0,Petrol,Hatchback,1.8L,Manual
Vauxhall Corsa,2395,61805,2009,3.0,Petrol,Hatchback,1.2L,Manual
Peugeot 207,1299,87000,2008,5.0,Diesel,Hatchback,1.6L,Manual
Mercedes-Benz A Class,15900,62402,2019,1.0,Petrol,Hatchback,1.3L,Automatic
Volkswagen Polo,2975,42500,2002,2.0,Petrol,Hatchback,1.4L,Automatic
Citroen C1,1750,95811,2011,3.0,Petrol,Hatchback,1.0L,Manual
Ford KA,1595,40000,2007,6.0,Petrol,Hatchback,1.3L,Manual
Citroen C4 Cactus,6399,92000,2016,2.0,Petrol,Hatchback,1.2L,Manual
Mazda CX-5,4900,127900,2014,3.0,Diesel,SUV,2.2L,Automatic
Mercedes-Benz A Class,5200,120000,2015,3.0,Diesel,Hatchback,2.1L,Manual
Toyota Corolla,13990,42817,2019,1.0,Petrol Hybrid,Hatchback,1.8L,Automatic
MINI Hatch,9495,61385,2018,1.0,Petrol,Hatchback,1.5L,Manual
Toyota RAV4,8990,49000,2011,1.0,Diesel,SUV,2.2L,Automatic
Hyundai i20,7795,51082,2017,3.0,Petrol,Hatchback,1.2L,Manual
Vauxhall Insignia,2950,79000,2011,4.0,Petrol,Hatchback,1.8L,Manual
Vauxhall Meriva,3100,61000,2011,2.0,Petrol,MPV,1.4L,Manual
Vauxhall Corsa,6199,30000,2014,1.0,Petrol,Hatchback,1.2L,Manual
Vauxhall Insignia,3990,138717,2016,3.0,Diesel,Hatchback,1.6L,Automatic
Mercedes-Benz C Class,8990,80429,2012,5.0,Petrol,Coupe,1.6L,Automatic
Honda Freed,6700,80000,2012,1.0,Petrol Hybrid,MPV,1.5L,Automatic
Ford Focus,2495,60000,2007,2.0,Petrol,Hatchback,1.6L,Manual
Peugeot 207,1299,87000,2008,5.0,Diesel,Hatchback,1.6L,Manual
BMW 3 Series,19800,69690,2019,1.0,Petrol Plug-in Hybrid,Saloon,2.0L,Automatic
Volkswagen Golf,1895,136331,2005,4.0,Petrol,Hatchback,1.6L,Manual
Mercedes-Benz B Class,2275,125200,2006,5.0,Petrol,MPV,1.7L,Automatic
Honda Legend,3000,94000,2001,2.0,Petrol,Saloon,3.5L,Automatic
BMW 3 Series,6700,105000,1999,7.0,Petrol,Coupe,2.5L,Manual
Volkswagen Golf Plus,3799,81000,2010,2.0,Petrol,Hatchback,1.4L,Manual
Dacia Sandero,3400,62000,2016,3.0,Petrol,Hatchback,1.2L,Manual
Ford Fiesta,3499,81000,2011,5.0,Petrol,Hatchback,1.3L,Manual
Volkswagen Golf,2750,150662,2009,1.0,Petrol,Hatchback,1.4L,Manual
Volkswagen Polo,2495,149000,2010,1.0,Diesel,Hatchback,1.2L,Manual
SKODA Fabia,6900,70189,2016,3.0,Diesel,Hatchback,1.4L,Manual
SKODA Fabia,6900,70189,2016,3.0,Diesel,Hatchback,1.4L,Manual
Vauxhall Corsa,2240,55000,2014,4.0,Petrol,Hatchback,1.2L,Manual
Vauxhall Zafira,1950,116700,2010,4.0,Petrol,MPV,1.6L,Manual
Mercedes-Benz E Class,4000,95257,2011,3.0,Diesel,Saloon,2.1L,Automatic
BMW 3 Series,2999,106708,2008,5.0,Petrol,Convertible,2.0L,Manual
Ford Focus,2100,90207,2009,3.0,Petrol,Hatchback,1.6L,Manual
Vauxhall Insignia,1990,115000,2009,5.0,Petrol,Hatchback,1.8L,Manual
Vauxhall Meriva,4250,91500,2015,3.0,Diesel,MPV,1.7L,Automatic
Ford Focus,4300,81426,2014,6.0,Petrol,Hatchback,1.6L,Automatic
Volkswagen Polo,5500,76221,2013,3.0,Petrol,Hatchback,1.2L,Manual
SKODA Fabia,6900,70189,2016,3.0,Diesel,Hatchback,1.4L,Manual
Peugeot 308 SW,9600,56984,2016,4.0,Diesel,Estate,1.6L,Manual
BMW 3 Series,5500,65000,2011,2.0,Diesel,Estate,2.0L,Manual
Volkswagen Golf,2995,109886,2009,3.0,Petrol,Hatchback,1.4L,Manual
Nissan Elgrand,4200,96000,2017,3.0,Petrol,Minibus,2.0L,Automatic
Vauxhall Corsa,2440,113790,2013,2.0,Petrol,Hatchback,1.2L,Manual
Nissan Juke,5990,69000,2013,2.0,Petrol,SUV,1.6L,Manual
Hyundai i30,1750,130000,2010,4.0,Petrol,Hatchback,1.4L,Manual
Peugeot 308 SW,9600,56984,2016,4.0,Diesel,Estate,1.6L,Manual
Peugeot 308 SW,9600,56984,2016,4.0,Diesel,Estate,1.6L,Manual
SKODA Superb,5999,82000,2011,4.0,Petrol,Estate,1.8L,Manual
Audi A4,4995,68157,2010,3.0,Petrol,Saloon,1.8L,Manual
Vauxhall Astra,2750,137000,2007,1.0,Petrol,Hatchback,2.0L,Manual
Toyota Yaris,5480,52624,2013,1.0,Petrol,Hatchback,1.3L,Automatic
Vauxhall Corsa,9820,31584,2018,2.0,Petrol,Hatchback,1.4L,Automatic
Ford Focus,2495,90000,2003,2.0,Petrol,Hatchback,2.0L,Automatic
Peugeot 207,999,111400,2007,2.0,Diesel,Hatchback,1.6L,Manual
MINI Hatch,10000,46923,2017,3.0,Petrol,Hatchback,1.5L,Manual
BMW 3 Series,19800,69690,2019,1.0,Petrol Plug-in Hybrid,Saloon,2.0L,Automatic
Volkswagen EOS,4000,89600,2006,5.0,Petrol,Convertible,3.2L,Automatic
BMW 3 Series,5999,112000,2004,5.0,Petrol,Coupe,3.0L,Automatic
Ford Fiesta,3495,85000,2009,5.0,Petrol,Hatchback,1.4L,Manual
Peugeot 308 SW,9600,56984,2016,4.0,Diesel,Estate,1.6L,Manual
Ford Fiesta,2395,96651,2011,1.0,Petrol,Hatchback,1.3L,Manual
MINI Hatch,5950,105500,2012,1.0,Petrol,Hatchback,1.6L,Automatic
BMW 3 Series,3995,105202,2006,8.0,Petrol,Coupe,3.0L,Automatic
Toyota Corolla,2145,57000,2004,5.0,Petrol,Hatchback,1.6L,Manual
SKODA Fabia,2500,33000,2005,3.0,Petrol,Hatchback,1.4L,Automatic
SKODA Rapid Spaceback,6699,81000,2015,2.0,Petrol,Hatchback,1.2L,Manual
Chrysler Ypsilon,2250,100000,2012,4.0,Petrol,Hatchback,1.2L,Manual
Peugeot 308 SW,9600,56984,2016,4.0,Diesel,Estate,1.6L,Manual
Volkswagen Golf,5300,49400,2010,3.0,Diesel,Hatchback,2.0L,Manual
Saab 900,5995,157000,1992,5.0,Petrol,Convertible,2.0L,Manual
Mercedes-Benz C Class,4495,100000,2008,1.0,Petrol,Saloon,1.8L,Automatic
Ford Fiesta,2900,76438,2010,3.0,Petrol,Hatchback,1.6L,Manual
Audi A3,4100,64800,2009,3.0,Petrol,Hatchback,1.6L,Manual
BMW 7 Series,2600,189000,2008,5.0,Diesel,Saloon,3.0L,Automatic
Renault Scenic,2995,36878,2006,2.0,Petrol,MPV,1.6L,Automatic
Nissan Juke,6399,68000,2014,2.0,Diesel,SUV,1.5L,Manual
Peugeot 308,2999,84066,2011,4.0,Petrol,Hatchback,1.6L,Manual
Vauxhall Corsa,3850,74000,2009,3.0,Petrol,Hatchback,1.4L,Automatic
Honda Accord,2497,118000,2005,2.0,Petrol,Saloon,2.4L,Automatic
Mazda Mazda3,3499,36000,2006,1.0,Petrol,Hatchback,1.6L,Manual
Mitsubishi ASX,4495,124000,2013,3.0,Petrol,SUV,1.6L,Manual
Mercedes-Benz A Class,5500,97000,2015,4.0,Diesel,Hatchback,1.5L,Manual
BMW 1 Series,10799,63000,2016,2.0,Petrol,Hatchback,1.5L,Manual
Nissan Qashqai+2,3999,71000,2011,2.0,Diesel,SUV,1.5L,Manual
Peugeot 207,999,111400,2007,2.0,Diesel,Hatchback,1.6L,Manual
MINI Hatch,2100,132000,2006,7.0,Petrol,Hatchback,1.6L,Manual
Volkswagen Golf,3750,78656,2007,5.0,Petrol,Hatchback,1.6L,Manual
Volkswagen Golf,1995,120000,2004,6.0,Petrol,Hatchback,2.0L,Manual
Volkswagen Beetle,1790,72370,2006,3.0,Petrol,Hatchback,1.4L,Manual
Ford Focus,4950,32331,2014,2.0,Diesel,Hatchback,1.6L,Manual
Volkswagen Beetle,2495,1110100,2003,4.0,Petrol,Hatchback,2.0L,Automatic
Ford B-max,4990,114850,2015,1.0,Petrol,MPV,1.6L,Automatic
Ford Mondeo,2500,121480,2007,3.0,Petrol,Hatchback,2.3L,Automatic
Ford Focus,5500,62037,2014,2.0,Petrol,Hatchback,1.0L,Manual
Chevrolet Spark,2495,45000,2012,4.0,Petrol,Hatchback,1.0L,Manual
Toyota Aygo,2995,39000,2014,5.0,Petrol,Hatchback,1.0L,Manual
Honda Civic,2499,83000,2005,5.0,Petrol,Hatchback,1.6L,Automatic
Renault Clio,5495,74653,2015,3.0,Petrol,Hatchback,1.2L,Manual
Fiat 500,6740,22116,2015,1.0,Petrol,Hatchback,1.2L,Manual
Volkswagen Polo,6495,66000,2011,1.0,Petrol,Hatchback,1.2L,Automatic
Mercedes-Benz A Class,15900,62402,2019,1.0,Petrol,Hatchback,1.3L,Automatic
Peugeot 306,2695,25240,1997,3.0,Petrol,Hatchback,1.4L,Manual
BMW 3 Series,4000,94000,2007,2.0,Petrol,Saloon,2.5L,Automatic
Toyota Yaris,1975,111555,2007,4.0,Petrol,Hatchback,1.8L,Manual
Peugeot 208,5530,58700,2017,2.0,Petrol,Hatchback,1.2L,Manual
Toyota Yaris,2495,121600,2008,4.0,Petrol,Hatchback,1.3L,Manual
Ford Fiesta,2490,77935,2008,4.0,Petrol,Hatchback,1.3L,Manual
Hyundai i30,4995,87000,2013,4.0,Petrol,Hatchback,1.4L,Manual
Volkswagen Golf,4450,96866,2011,2.0,Diesel,Hatchback,1.6L,Automatic
Lexus CT 200h,5950,140000,2011,6.0,Petrol Hybrid,Hatchback,1.8L,Automatic
Hyundai ix35,5490,59858,2012,2.0,Diesel,SUV,1.7L,Manual
Volkswagen Polo,5450,75818,2013,4.0,Petrol,Hatchback,1.2L,Manual
Ford Fiesta,3230,90400,2012,1.0,Petrol,Hatchback,1.3L,Manual
Vauxhall Corsa,1950,93000,2012,4.0,Petrol,Hatchback,1.2L,Manual
BMW 3 Series,19800,69690,2019,1.0,Petrol Plug-in Hybrid,Saloon,2.0L,Automatic
KIA Sportage,8490,50000,2014,1.0,Petrol,SUV,1.6L,Manual
